left_len,right_len,total_empty,n,first,current_player_result,black_initial_result
16,26,42,43,16,L,W
16,27,43,44,16,L,W
16,28,44,45,16,L,W
17,1,18,19,17,W,L
17,2,19,20,17,L,W
17,3,20,21,17,L,W
17,4,21,22,17,L,W
17,5,22,23,17,L,W
17,6,23,24,17,L,W
17,7,24,25,17,L,W
17,8,25,26,17,L,W
17,9,26,27,17,L,W
17,10,27,28,17,L,W
17,11,28,29,17,L,W
17,12,29,30,17,L,W
17,13,30,31,17,L,W
17,14,31,32,17,L,W
17,15,32,33,17,W,L
17,16,33,34,17,L,W
17,17,34,35,17,L,W
17,18,35,36,17,L,W
17,19,36,37,17,W,L
17,20,37,38,17,L,W
17,21,38,39,17,L,W
17,22,39,40,17,L,W
17,23,40,41,17,L,W
17,24,41,42,17,L,W
17,25,42,43,17,L,W
17,26,43,44,17,L,W
17,27,44,45,17,L,W
18,1,19,20,18,W,L
18,2,20,21,18,L,W
18,3,21,22,18,L,W
18,4,22,23,18,L,W
18,5,23,24,18,L,W
18,6,24,25,18,L,W
18,7,25,26,18,L,W
18,8,26,27,18,L,W
18,9,27,28,18,L,W
18,10,28,29,18,L,W
18,11,29,30,18,L,W
18,12,30,31,18,L,W
18,13,31,32,18,L,W
18,14,32,33,18,L,W
18,15,33,34,18,L,W
18,16,34,35,18,W,L
18,17,35,36,18,L,W
18,18,36,37,18,L,W
18,19,37,38,18,L,W
18,20,38,39,18,W,L
18,21,39,40,18,L,W
18,22,40,41,18,L,W
18,23,41,42,18,L,W
18,24,42,43,18,L,W
18,25,43,44,18,L,W
18,26,44,45,18,L,W
19,1,20,21,19,W,L
19,2,21,22,19,L,W
19,3,22,23,19,L,W
19,4,23,24,19,L,W
19,5,24,25,19,L,W
19,6,25,26,19,L,W
19,7,26,27,19,L,W
19,8,27,28,19,L,W
19,9,28,29,19,L,W
19,10,29,30,19,L,W
19,11,30,31,19,L,W
19,12,31,32,19,L,W
19,13,32,33,19,L,W
19,14,33,34,19,L,W
19,15,34,35,19,L,W
19,16,35,36,19,L,W
19,17,36,37,19,W,L
19,18,37,38,19,L,W
19,19,38,39,19,L,W
19,20,39,40,19,L,W
19,21,40,41,19,W,L
19,22,41,42,19,L,W
19,23,42,43,19,L,W
19,24,43,44,19,L,W
19,25,44,45,19,L,W
20,1,21,22,20,W,L
20,2,22,23,20,L,W
20,3,23,24,20,L,W
20,4,24,25,20,L,W
20,5,25,26,20,L,W
20,6,26,27,20,L,W
20,7,27,28,20,L,W
20,8,28,29,20,L,W
20,9,29,30,20,L,W
20,10,30,31,20,L,W
20,11,31,32,20,L,W
20,12,32,33,20,L,W
20,13,33,34,20,L,W
20,14,34,35,20,L,W
20,15,35,36,20,L,W
20,16,36,37,20,L,W
20,17,37,38,20,L,W
20,18,38,39,20,W,L
20,19,39,40,20,L,W
20,20,40,41,20,L,W
20,21,41,42,20,L,W
20,22,42,43,20,W,L
20,23,43,44,20,L,W
20,24,44,45,20,L,W
21,1,22,23,21,W,L
21,2,23,24,21,L,W
21,3,24,25,21,L,W
21,4,25,26,21,L,W
21,5,26,27,21,L,W
21,6,27,28,21,L,W
21,7,28,29,21,L,W
21,8,29,30,21,L,W
21,9,30,31,21,L,W
21,10,31,32,21,L,W
21,11,32,33,21,L,W
21,12,33,34,21,L,W
21,13,34,35,21,L,W
21,14,35,36,21,L,W
21,15,36,37,21,L,W
21,16,37,38,21,L,W
21,17,38,39,21,L,W
21,18,39,40,21,L,W
21,19,40,41,21,W,L
21,20,41,42,21,L,W
21,21,42,43,21,L,W
21,22,43,44,21,L,W
21,23,44,45,21,W,L
22,1,23,24,22,W,L
22,2,24,25,22,L,W
22,3,25,26,22,L,W
22,4,26,27,22,L,W
22,5,27,28,22,L,W
22,6,28,29,22,L,W
22,7,29,30,22,L,W
22,8,30,31,22,L,W
22,9,31,32,22,L,W
22,10,32,33,22,L,W
22,11,33,34,22,L,W
22,12,34,35,22,L,W
22,13,35,36,22,L,W
22,14,36,37,22,L,W
22,15,37,38,22,L,W
22,16,38,39,22,L,W
22,17,39,40,22,L,W
22,18,40,41,22,L,W
22,19,41,42,22,L,W
22,20,42,43,22,W,L
22,21,43,44,22,L,W
22,22,44,45,22,L,W
23,1,24,25,23,W,L
23,2,25,26,23,L,W
23,3,26,27,23,L,W
23,4,27,28,23,L,W
23,5,28,29,23,L,W
23,6,29,30,23,L,W
23,7,30,31,23,L,W
23,8,31,32,23,L,W
23,9,32,33,23,L,W
23,10,33,34,23,L,W
23,11,34,35,23,L,W
23,12,35,36,23,L,W
23,13,36,37,23,L,W
23,14,37,38,23,L,W
23,15,38,39,23,L,W
23,16,39,40,23,L,W
23,17,40,41,23,L,W
23,18,41,42,23,L,W
23,19,42,43,23,L,W
23,20,43,44,23,L,W
23,21,44,45,23,W,L
24,1,25,26,24,W,L
24,2,26,27,24,L,W
24,3,27,28,24,L,W
24,4,28,29,24,L,W
24,5,29,30,24,L,W
24,6,30,31,24,L,W
24,7,31,32,24,L,W
24,8,32,33,24,L,W
24,9,33,34,24,L,W
24,10,34,35,24,L,W
24,11,35,36,24,L,W
24,12,36,37,24,L,W
24,13,37,38,24,L,W
24,14,38,39,24,L,W
24,15,39,40,24,L,W
24,16,40,41,24,L,W
24,17,41,42,24,L,W
24,18,42,43,24,L,W
24,19,43,44,24,L,W
24,20,44,45,24,L,W
25,1,26,27,25,W,L
25,2,27,28,25,L,W
25,3,28,29,25,L,W
25,4,29,30,25,L,W
25,5,30,31,25,L,W
25,6,31,32,25,L,W
25,7,32,33,25,L,W
25,8,33,34,25,L,W
25,9,34,35,25,L,W
25,10,35,36,25,L,W
25,11,36,37,25,L,W
25,12,37,38,25,L,W
25,13,38,39,25,L,W
25,14,39,40,25,L,W
25,15,40,41,25,L,W
25,16,41,42,25,L,W
25,17,42,43,25,L,W
25,18,43,44,25,L,W
25,19,44,45,25,L,W
26,1,27,28,26,W,L
26,2,28,29,26,L,W
26,3,29,30,26,L,W
26,4,30,31,26,L,W
26,5,31,32,26,L,W
26,6,32,33,26,L,W
26,7,33,34,26,L,W
26,8,34,35,26,L,W
26,9,35,36,26,L,W
26,10,36,37,26,L,W
26,11,37,38,26,L,W
26,12,38,39,26,L,W
26,13,39,40,26,L,W
26,14,40,41,26,L,W
